text,f1,f2,f3,f4,f5,f6,f7,f8
"Хотела купить на замену старых,по итогу эти  ужаснотупые ,не удобные ,рвут кутикулу ,а не режут.",1,1,1.0,11,13,4.2727272727272725,18,36
Запах по сравнению с обычным DOVE никакой. Оно не парфюмированное. Только баночки симпатичные и всё,10,6,2.7,46,4,4.434782608695652,90,109
"Кабель подошёл, хорошо работает.",4,4,4.0,14,0,4.5,4,6
"Восторг! Очень приятный аромат, держится долго, очень удобный формат для сумочки.",6,6,5.0,374,30,4.7727272727272725,14,15
Визуально все хорошо. Не пробовали. Купили в подарок,19,18,5.0,6,4,5.0,26,33
"Коробка в состоянии,, прошла Афган,,! Гладкая кожа носков сапог тоже уже не выглядит новой. Но сапоги вернула совсем не по этим причинам. Дело в том, что всамой модели сапог странное голенище. Дизайнер просчитался, решил вставить в эскиз замок, хотя стоило обойтись резинкой, дающей возможность вместить любую толщину икры женской ножки. Замок топорщит, держит странную форму, что портит вид сапог.",1,1,3.0,8,4,3.5,0,3
Джинсы хорошие качество отличное но дороговаты и Малы очень  брал на два размера больше но увы так что возврат,2,2,3.0,173,34,4.22543352601156,1,7
Хорошее качество,5,4,5.0,30,1,4.6,8,8
"Камеры не закрывает, камеры в ровень с чехлом",1,1,1.0,210,90,4.6571428571428575,2,2
"Юлия не могли бы Вы проверить стеганку которую я вернула нет ли в карманах ключ от машин, я боюсь что в примерочной я по инерции их положила в карман и вернула позвони если есть по этому номеру 287896096",1,1,5.0,337,90,4.71513353115727,0,1
"Хорошо упакован, Оригенал 👌🏻спасибо",12,12,5.0,155,68,4.354838709677419,15,19
Оыоырыгыоцрцныоцн,2,2,5.0,718,178,4.554317548746518,2,6
"Отличный рюкзак. Действительно, пахнет новым, приятный запах. Молнии хорошо застегиваются. Качество хорошее. Посмотрим, как в использовании себя проявит. Пришел товар быстро.",1,1,5.0,132,15,4.916666666666667,3,4
"Доставка-скорость света! Отличная ёмкость, кажется большеватой. НО! под любой стик мыла и пена остаётся внутри и не нужно собирать снаружи. Крышка садится не туго и не болтается. Транспортная упаковка надёжная. Всё без повреждений.",35,34,4.571428571428571,18,1,4.833333333333333,44,50
"Возврат! Во-первых, задал вопрос продавцу, обратной связи ноль! Во-вторых, кошелек далеко не маленький и не тонкий. Его толщина явно не 1 см.  2 см + и это он еще пустой. В-третьих - самое главное, карты не влазиет в отделения, мм 4-5 не хватает. В целом по качеству кошелек неплохой, но отделения под карты расстроили((",3,3,4.0,6,1,3.1666666666666665,2,4
Цена качество соответствует,5,5,4.6,116,13,4.7844827586206895,21,49
