f1,f2,f3,f4,f5,f6,f7,f8,emb57,label
6,6,5.0,20,2,4.45,10,12,0.048446517,0
1,1,5.0,148,18,4.851351351351352,50,65,0.040180836,0
9,9,3.6666666666666665,172,88,3.895348837209302,30,57,-0.011212657,0
8,8,4.375,131,83,4.183206106870229,18,18,0.033477936,0
9,9,4.666666666666667,171,58,4.573099415204679,19,25,0.005224596,0
1,1,5.0,5,3,5.0,4,4,-0.021909045,0
10,10,4.5,621,135,3.824476650563607,10,10,0.0132842455,0
1,1,1.0,3,0,3.6666666666666665,2,3,-0.061841197,0
22,21,4.863636363636363,169,82,4.710059171597633,111,175,0.043271814,0
19,18,4.7368421052631575,68,60,4.691176470588236,18,27,-0.027867788,0
10,1,5.0,66,12,4.621212121212121,0,22,0.031369377,1
13,13,4.846153846153846,881,175,4.611804767309875,84,127,0.005953393,0
62,58,4.806451612903226,6342,845,4.4913276568905705,54,119,0.09796311,0
1,1,5.0,7316,3070,4.15787315472936,12,23,0.026146885,1
11,11,4.727272727272728,702,181,4.660968660968661,33,74,0.039595623,0
91,86,4.945054945054945,427,215,4.89695550351288,167,313,-0.02202019,1
8,8,3.0,46,3,4.326086956521739,5,8,0.000500873,1
1,1,1.0,88,53,4.295454545454546,1,3,-0.0065054675,0
16,16,4.5,62,7,4.596774193548387,86,125,-0.016726349,0
7,7,4.857142857142857,59,27,4.661016949152542,61,127,0.010034003,0
39,33,5.0,1209,236,4.639371381306865,118,216,-0.019850787,0
3,2,3.6666666666666665,10,5,3.6,3,15,-0.018145462,0
1,1,5.0,1165,604,4.84549356223176,32,63,-0.038300402,1
9,8,5.0,1,0,5.0,11,17,0.01580853,0
205,10,4.824390243902439,2,0,5.0,238,354,-0.019486476,1
8,8,4.0,43,12,4.744186046511628,51,55,0.010684143,0
9,9,4.111111111111111,264,37,4.575757575757576,43,81,0.018413035,0
26,10,4.807692307692308,77,19,4.5064935064935066,108,7156,0.03686371,1
45,43,5.0,469,206,4.6481876332622605,59,67,0.05729466,0
12,12,4.416666666666667,47,36,4.76595744680851,50,55,-0.020979336,0
21,18,4.809523809523809,95,36,3.526315789473684,22,24,0.05079553,0
4,4,5.0,339,106,4.772861356932153,5,8,-0.023836968,0
38,32,4.368421052631579,948,289,4.7289029535864975,201,396,-0.009973516,0
46,44,4.630434782608695,309,70,4.86084142394822,95,210,-0.02218249,0
1,1,1.0,4,0,3.0,7,8,0.01154756,0
3,3,3.6666666666666665,10192,5663,4.5514128728414445,149,216,-0.06052279,1
9,8,4.111111111111111,119,63,4.722689075630252,43,47,0.06069778,0
9,9,4.333333333333333,335,56,4.82089552238806,24,31,0.02534257,0
12,11,5.0,605,109,4.796694214876033,36,39,0.038427006,0
15,14,4.266666666666667,53,4,4.09433962264151,91,168,0.044342086,0
8,8,5.0,224,26,4.040178571428571,71,167,0.015117971,0
20,19,4.1,32,1,3.78125,52,56,-0.008285716,1
2,2,3.0,100,43,4.44,1,2,0.009378592,0
13,13,4.461538461538462,824,232,4.139563106796117,86,118,-0.028019419,0
5,5,4.8,411,42,4.880778588807786,4,5,0.008816492,0
1,1,1.0,238,31,4.105042016806722,1,1,0.030685293,0
9,9,4.666666666666667,205,92,4.4975609756097565,12,35,-0.036439843,0
9,5,4.444444444444445,5,2,3.6,53,180,-0.037653692,0
16,16,4.75,19,5,4.526315789473684,45,68,-0.012124479,1
34,33,4.882352941176471,318,31,4.566037735849057,67,138,0.03217703,0
2,2,5.0,15,4,4.133333333333334,4,7,0.006844754,0
15,14,4.866666666666666,273,26,4.937728937728938,32,67,-0.022158604,0
2,2,3.0,1078,109,4.631725417439704,17,31,0.02526689,0
2,2,5.0,3068,930,4.320078226857888,0,2,0.025867343,1
1,1,5.0,9,0,4.666666666666667,2,5,-0.02609484,0
18,18,4.777777777777778,2348,605,4.661413969335605,35,53,0.04969297,0
1,1,1.0,177,0,3.016949152542373,1,3,0.007942952,1
2,2,1.0,1,0,1.0,12,20,0.035978857,1
51,49,4.607843137254902,149,17,4.711409395973154,64,71,0.052079383,0
1,1,5.0,182,69,4.868131868131868,3,6,-0.03025765,0
34,28,4.823529411764706,34,9,4.970588235294118,48,49,-0.014991398,0
4,3,4.5,104,10,4.346153846153846,20,29,-0.011755131,1
49,45,4.959183673469388,243,49,4.777777777777778,128,226,0.0032630323,0
1,1,3.0,1314,190,4.709284627092846,4,9,0.0022786304,0
14,13,4.714285714285714,51,36,4.823529411764706,48,64,0.025847444,0
6,6,5.0,404,138,4.641089108910891,57,60,-0.0064062104,0
4,4,4.75,1648,774,4.41747572815534,73,83,0.0033620317,0
1,1,5.0,306,35,4.882352941176471,4,11,-0.0050641214,0
3,3,5.0,27,5,4.888888888888889,23,71,0.025925994,0
92,86,4.771739130434782,375,53,4.832,86,156,0.0034599747,0
28,24,3.9642857142857135,14,2,4.142857142857143,60,107,-0.04304507,1
5,4,5.0,30,1,4.6,8,8,-0.009169738,1
6,5,3.0,3,0,2.0,29,112,-0.0044708527,0
4,4,5.0,3839,1607,4.603803073717113,22,42,-0.0202588,0
2,2,5.0,13,2,4.615384615384615,40,48,0.021886133,0
1,1,4.0,51,32,4.568627450980392,0,2,0.015433931,0
2,2,3.0,18335,11036,4.670248159258249,50,94,0.03373338,1
2,2,3.0,162,13,2.7962962962962963,1,2,-0.05137069,1
11,10,4.636363636363637,15287,1969,4.806698501995159,48,92,-0.017687012,0
1,1,3.0,59,27,4.3559322033898304,7,10,-0.023113756,0
2,2,3.5,20,12,4.75,3,7,-0.0039074062,0
530,23,4.349056603773585,1,0,5.0,873,2123,0.021989036,1
3,2,5.0,43,23,4.813953488372093,3,5,0.02666517,1
47,46,4.808510638297872,5,0,5.0,97,111,0.04911474,0
3,1,5.0,3,3,4.333333333333333,0,6,0.02375479,1
7,6,4.857142857142857,107,48,4.841121495327103,20,155,0.011223387,0
12,12,4.75,85,25,4.576470588235294,55,146,-0.008973704,0
47,44,4.382978723404255,21,10,3.523809523809524,60,109,-0.0023587446,0
38,35,4.473684210526316,175,10,4.628571428571429,61,118,0.06670732,0
